Product_Category,Product_Title,Product_Rating,Product_Reviews,Product_Orders,Product_Image
blouses-shirts,Syiwidii Women Blouses Office Lady Cotton Oversize Plus Size Tops Pink White Blue Long Sleeve 2021 Spring Korean Fashion Shirts,4.7,926,3068,https://ae01.alicdn.com/kf/Hb333d482786b496fbc1aa7c5966acf8be/Syiwidii-Women-Blouses-Office-Lady-Cotton-Oversize-Plus-Size-Tops-Pink-White-Blue-Long-Sleeve-2021.jpg_Q90.jpg_.webp
blouses-shirts,Hirigin 2020 Elegant Women Off Shoulder Chiffon Blouse Fashion Solid Color Pleated Sexy Shirt New Office Street Tops and Blouses,4.5,306,1388,https://ae01.alicdn.com/kf/H4df9a3f283294ac6a50dfa02cce518821/Hirigin-2020-Elegant-Women-Off-Shoulder-Chiffon-Blouse-Fashion-Solid-Color-Pleated-Sexy-Shirt-New-Office.jpg_Q90.jpg_.webp
blouses-shirts,Women Spring Autumn Style Chiffon Blouses Shirts Lady Embroidery Long Sleeve Turn-down Collar Lace Decor Blusas Tops DF0004,4.6,114,640,https://ae01.alicdn.com/kf/Hd1e83db9376c45b6916b3dd68b2e4153X/Women-Spring-Autumn-Style-Chiffon-Blouses-Shirts-Lady-Embroidery-Long-Sleeve-Turn-down-Collar-Lace-Decor.jpg_Q90.jpg_.webp
blouses-shirts,Women White Shirt 100% Cotton Embroidery Long Sleeve Button Up Blouse 2020 New Fashion Loose Top Office Lady Casual Wear,4.3,132,470,https://ae01.alicdn.com/kf/Hbc900eb9a71e49d283c7a8832b1eb957b/Women-White-Shirt-100-Cotton-Embroidery-Long-Sleeve-Button-Up-Blouse-2020-New-Fashion-Loose-Top.jpg_Q90.jpg_.webp
