Product_Category,Product_Title,Product_Rating,Product_Reviews,Product_Orders,Product_Image
t-shirts,Pew Pew Madafakas Print T-shirts Women Summer 2020 Graphic Tees Funny Shirts For woman tshirts Loose Crew Neck Harajuku Tops,4.8,2746,7183,https://ae01.alicdn.com/kf/Hdf8f65a859d94fe1b8db8bca54367dddC/Pew-Pew-Madafakas-Print-T-shirts-Women-Summer-2020-Graphic-Tees-Funny-Shirts-For-woman-tshirts.jpg_Q90.jpg_.webp
t-shirts,Short Sleeve Women T-shirts Letter Embroidery Tie Dye Oversize Hip Hop Loose Korean Style All-match Students Simple Chic O-neck,,None,92,https://ae01.alicdn.com/kf/H0d86f2354c4042529f44763b8c3fc996l/Short-Sleeve-Women-T-shirts-Letter-Embroidery-Tie-Dye-Oversize-Hip-Hop-Loose-Korean-Style-All.jpg_Q90.jpg_.webp
t-shirts,Harujuku Women T shirt Pickel Funny New Fashion Short Sleeve Cartoon Tshirt Print Ulzzang Graphic T-shirt Female Tee Shirt Tops,,None,13,https://ae01.alicdn.com/kf/Hf8095ab7f967477e9c6969793cc6b49bv/Harujuku-Women-T-shirt-Pickel-Funny-New-Fashion-Short-Sleeve-Cartoon-Tshirt-Print-Ulzzang-Graphic-T.jpg_Q90.jpg_.webp
t-shirts,New Summer Arts Style Women Batwing Sleeve O-neck T-shirt Drawstring Design Cotton Loose Tee Shirt Femme Tops Big Size M121,4.5,24,66,https://ae01.alicdn.com/kf/Hd327fcd0667a4d49a413086d1f25a12dk/New-Summer-Arts-Style-Women-Batwing-Sleeve-O-neck-T-shirt-Drawstring-Design-Cotton-Loose-Tee.jpg_Q90.jpg_.webp
